ID,NAME,cns e14,ovary adult,limb e14.5,whole brain e14.5,cns e11.5,cns e18,adrenal adult,thymus adult,bladder adult,lung adult,mammary gland adult,colon adult,frontal lobe adult,cerebellum adult,testis adult,spleen adult,cortex adult,subcutaneous fat pad adult,duodenum adult,genital fat pad adult,placenta adult,stomach adult,small intestine adult,kidney adult,large intestine adult,liver e14,liver e14.5,heart adult,liver e18,liver adult
66869,Zfp869,5.64071,2.63893,5.44671,4.7687,7.23272,5.42214,1.46707,2.98769,7.77896,2.8835,2.5004,1.52277,5.07993,5.84848,0.871899,2.66863,4.57392,2.67088,0.830446,3.77647,6.26827,0.542185,0.826698,2.29534,2.13366,3.98252,3.15678,2.00571,2.60837,1.24241
170763,Zfp87,4.12183,0.822415,2.38885,3.65342,4.08331,4.04685,0.316255,2.04587,3.18899,1.16293,1.30853,0.67791,2.36533,2.77189,2.5672,0.954586,2.37991,1.3722,0.173614,1.52354,2.17768,0.223487,0.288379,1.29366,1.0816,1.4085,1.24969,0.772715,1.08961,0.552194
240066,Zfp870,1.37941,0.27488,1.31457,1.282,1.61328,1.41408,0.194946,0.105893,1.33759,0.488458,0.366747,0.264532,1.18262,1.30442,0.122049,0.259417,1.09346,0.548912,0.0796257,0.547579,0.721668,0.0556445,0.106768,0.37504,0.412211,0.520755,0.412316,0.58561,0.653695,0.285054
208292,Zfp871,7.8447,4.72295,9.7664,9.82325,8.42843,8.71218,1.98766,9.0076,7.81733,4.84675,5.90073,2.00975,7.82672,6.94297,0.752578,4.73992,6.41902,4.35299,1.32974,4.22267,5.43974,1.34349,2.0779,8.80445,3.23789,5.64681,5.66881,4.12121,3.9118,2.99075
408062,Zfp873,1.81651,0.276845,1.41273,1.67466,2.21104,1.77198,0.0516717,0.503845,1.4719,0.130225,0.180194,0.109198,0.966036,0.793968,0.0790492,0.197298,0.79421,0.290472,0.0182081,0.469914,1.11306,0.00626546,0.065266,0.170441,0.383565,0.604311,0.537775,0.230499,0.586202,0.143471
238692,Zfp874a,0.958448,0.152685,1.55017,0.863328,1.1223,1.47678,0.130063,0.538582,2.4377,0.364716,0.525859,0.113259,2.05089,2.0364,0.163103,0.261522,2.08019,0.802179,0.0119921,0.654148,1.36237,0.0252317,0.0344883,0.780568,0.220815,1.77046,1.51234,0.62981,1.74118,0.761029
408067,Zfp874b,0.777459,0.201464,0.928572,0.679187,0.677246,1.26903,0.113886,0.628745,1.5474,0.401856,0.476392,0.133259,1.30477,1.61459,0.190622,0.31255,1.50978,0.581017,0.0414898,0.389609,0.713202,0.041925,0.0363553,0.503178,0.236793,1.02093,0.861216,0.659868,0.808018,0.28363
382019,Zfp882,2.6878,0.289589,1.27642,2.74317,2.26627,2.53092,0.0963997,0.65504,0.705338,0.423773,0.378403,0.110118,1.10968,1.60751,0.209168,0.368153,0.827867,0.485084,0.0137713,0.296616,0.381363,0.0340149,0.0411272,0.45291,0.152237,0.38585,0.330842,0.288,0.244816,0.0893188
22750,Zfp9,5.42397,0.716688,9.96873,4.83194,3.88021,5.79657,0.394679,0.0985515,4.27013,0.707057,0.776953,0.424335,3.61379,3.29081,0.166578,0.103308,3.53992,1.42314,0.152417,1.28168,3.53573,0.258984,0.12379,0.245388,0.48558,1.12928,1.01676,1.10404,1.66181,0.244532
22751,Zfp90,6.03751,0.872454,3.17302,5.36547,5.31965,6.32407,0.317544,0.878193,1.66149,0.573826,0.684073,0.420903,1.74071,1.76215,0.295682,0.654718,1.39965,0.989785,0.144553,0.699238,1.48369,0.223417,0.148214,0.399574,0.365923,0.623614,0.553297,0.374741,0.624649,0.0836215
109910,Zfp91,12.2319,5.42172,10.024,11.7403,13.602,11.2772,6.52497,11.0378,15.1797,5.81613,7.31848,6.81683,12.468,14.8516,19.4623,5.27689,13.0658,7.89623,2.51016,9.08839,10.9597,3.07505,3.20586,6.72019,5.21698,10.0174,8.672,8.81467,6.95002,4.99702
22755,Zfp93,1.2698,0.571709,1.01077,1.15088,0.928232,1.38819,0.393851,0.292004,1.00822,0.455499,0.355226,0.440617,1.19484,1.17248,0.848614,0.1169,1.23712,0.651226,0.232859,0.623016,0.384413,0.269058,0.148185,0.719748,0.318181,0.175263,0.210244,0.394394,0.256024,0.320641
234358,Zfp930,2.14007,0.133259,1.88691,1.57517,2.37119,2.19078,0.0265143,0.309862,2.09932,0.27786,0.243492,0.134734,1.55089,2.03926,0.0951653,0.153536,1.51284,0.387409,0.0113,0.295408,1.22383,0.0330726,0.0404947,0.360786,0.201995,2.21471,1.63639,0.468235,1.35702,0.140109
353208,Zfp931,1.45705,0.363666,1.45841,1.09517,1.52949,1.8408,0.10301,0.462963,2.71183,0.626004,0.694707,0.200256,1.88223,2.30458,0.129089,0.17806,1.81444,1.60444,0.0456728,1.43155,1.30951,0.0463064,0.0337788,0.824022,0.429326,0.866991,0.66598,1.18987,0.821095,0.51525
69504,Zfp932,4.98461,0.590231,3.64268,4.45353,3.05212,7.25577,0.21195,0.893322,3.89623,0.649089,0.685188,0.211056,6.29503,4.49531,0.745752,0.472552,5.33195,0.830964,0.0489315,1.08488,1.36821,0.113978,0.0965193,0.486061,0.415127,1.32552,1.06409,0.436318,0.868747,0.22995
242747,Zfp933,2.14447,0.098652,1.98923,2.01575,2.11847,2.39167,0.234207,0.280679,1.97488,0.32357,0.220243,0.108513,2.45517,2.55057,0.792963,0.140887,2.12314,0.418988,0.0309216,0.552201,1.50452,0.0541287,0.0298397,0.283836,0.338573,0.740222,0.587168,0.617187,0.626149,0.156542
77117,Zfp934,1.2407,0.134981,1.65459,0.874715,2.26486,0.968683,0.0138282,0.267006,1.40672,0.158286,0.122922,0.072885,0.614006,0.541581,0.175929,0.136885,0.676915,0.218734,0.0124243,0.177623,1.71808,0.0317953,0.0384428,0.222742,0.163176,1.57096,1.08846,0.163767,0.564322,0.0281315
71508,Zfp935,1.92562,0.0933452,1.74181,1.56751,2.04001,2.1353,0.0046086,0.310911,2.59191,0.205406,0.165744,0.105743,1.29773,1.09103,0.371823,0.124959,1.03024,0.301847,0.0285981,0.366285,2.33702,0.012926,0.0357208,0.238487,0.180102,0.918116,0.632716,0.256295,0.815347,0.0965425
245174,Zfp937,0.783745,0.210999,0.645399,0.804473,0.98511,0.88913,0.0599333,0.0541026,1.06063,0.141613,0.189463,0.0699801,0.58641,0.493827,0.0860104,0.0330891,0.489292,0.250453,0.0761273,0.249933,0.595311,0.00632687,0.0522929,0.151696,0.125396,0.147302,0.123251,0.121534,0.164726,0.08755
237411,Zfp938,4.29164,0.0741776,3.13965,3.60986,3.2251,5.55496,0.0693567,0.225663,3.19339,0.253909,0.207012,0.155384,4.84094,4.42807,0.383674,0.114843,4.39879,0.426659,0.0274456,0.632136,1.5733,0.0214444,0.0563636,0.368416,0.274619,0.867909,0.664019,0.545497,0.935965,0.192707
233147,Zfp939,2.68622,0.916354,1.33386,2.42063,1.18713,3.13077,0.390198,0.159853,1.27467,0.840089,0.738544,0.933308,1.63847,1.81297,0.775734,0.283332,1.5051,0.781478,0.426242,0.766558,0.304692,0.391257,0.359504,0.564651,0.702776,0.289937,0.322472,0.606094,0.411964,0.458505
22756,Zfp94,2.27334,1.11156,1.53199,2.17276,1.77665,2.51871,0.50214,0.577235,1.25671,0.784208,0.757388,0.491254,1.44831,1.26106,1.29996,1.05385,1.44322,0.877323,0.264966,0.780996,0.319762,0.361219,0.161424,0.791643,0.341326,0.326139,0.27934,0.375184,0.255331,0.348778
233057,Zfp940,2.38911,0.12452,0.914234,2.00285,2.02274,3.04884,0.0483181,0.299696,0.43617,0.182865,0.129254,0.0751291,2.16132,2.40593,0.30932,0.177854,2.40192,0.200093,0.0283658,0.148374,0.313465,0.0376468,0.0270285,0.160798,0.14002,0.290757,0.218075,0.0968822,0.162857,0.0464242
407812,Zfp941,1.70385,0.0387941,0.159258,1.76894,0.692487,2.21324,0.0310059,0.0101538,0.113362,0.0371905,0.0104244,0.0278068,3.70193,2.38029,0.483191,0.0020011,3.21039,0.02184,0.0055237,0.0334294,0.0456492,0.00689199,0.00283087,0.0882448,0.0511232,0.0563013,0.0412667,0.0194754,0.067869,0.0490894
73233,Zfp942,2.81334,1.11485,2.88185,2.22145,3.01717,3.33422,0.962141,1.7661,2.99837,0.751125,0.875148,1.14892,2.45951,1.87714,1.16431,0.71915,1.99801,0.773794,0.916804,0.83807,3.03012,0.511053,0.647738,0.692195,0.757744,2.54284,1.79017,0.547709,1.86763,0.866349
74670,Zfp943,3.64322,0.316127,3.24273,2.71967,3.13408,3.50899,0.149929,1.20558,5.64325,0.723855,0.752068,0.573207,3.45638,3.04264,1.46062,0.744739,3.25947,0.740862,0.185679,0.925949,2.27833,0.143998,0.2229,0.736841,0.758885,2.19559,1.62866,1.15893,1.85745,0.435302
319615,Zfp944,3.27687,1.47626,2.99047,2.54843,2.85839,3.83723,1.53219,2.6649,3.00657,1.19342,1.42688,1.78236,2.3408,2.25243,1.61419,1.18694,2.00543,1.07019,1.57699,1.12123,2.05139,0.779208,0.839006,1.04364,1.16132,2.29972,1.73251,0.77279,1.6211,1.35935
240041,Zfp945,2.50872,0.11496,2.20868,2.11337,2.44434,2.22037,0.0879177,0.205574,2.35869,0.348493,0.277941,0.135657,1.26163,0.602231,0.128949,0.127045,1.25942,0.422277,0.034128,0.439602,0.597432,0.00923131,0.023524,0.292094,0.15487,0.347621,0.274777,0.55761,0.627135,0.142633
74149,Zfp946,5.46523,0.182586,2.17566,4.64496,3.91876,5.99117,0.325987,0.209416,1.82869,0.373297,0.338491,0.655077,2.10965,2.84855,0.172217,0.151601,1.44001,0.389698,0.365333,0.471346,1.05029,0.204923,0.315487,0.650974,1.03782,0.870666,0.630804,0.375909,0.777075,0.621676
381066,Zfp948,2.64702,0.201006,2.15865,1.90594,1.89782,2.95149,0.0721338,0.0669368,1.50118,0.361914,0.279921,0.220483,1.3484,1.12868,0.098405,0.0925719,1.19405,0.464357,0.0379803,0.354538,6.27853,0.0259941,0.0909809,0.225389,0.385094,1.27445,0.985586,0.331085,0.713471,0.0964473
71640,Zfp949,3.43472,0.97692,2.31152,2.89969,2.71339,3.60023,0.480337,1.38316,2.77884,1.24269,1.23356,0.654874,3.82819,4.63874,2.44227,0.756566,3.68623,1.46491,0.352178,1.31184,1.41695,0.534028,0.426799,1.30415,1.01941,2.07595,1.56672,1.01657,1.81007,0.631708
414758,Zfp950,1.66351,0.87531,2.88182,1.2678,1.44683,1.67879,0.293992,0.612091,3.31678,0.491608,0.763951,0.312149,2.53914,1.61773,0.171251,0.373866,2.51072,0.812516,0.111575,0.97054,1.3076,0.105794,0.230588,0.430579,0.609406,0.92852,0.738425,0.579512,2.34206,0.334988
