ID,NAME,GROUP,ASSIGNMENT,URL
18139,Zfp638,0,'',https://www.ncbi.nlm.nih.gov/gene/18139
20841,Zfp143,0,'',https://www.ncbi.nlm.nih.gov/gene/20841
21408,Zfp354a,0,'',https://www.ncbi.nlm.nih.gov/gene/21408
22640,Zfp1,0,'',https://www.ncbi.nlm.nih.gov/gene/22640
22643,Zfp101,0,'',https://www.ncbi.nlm.nih.gov/gene/22643
22646,Zfp105,0,'',https://www.ncbi.nlm.nih.gov/gene/22646
22648,Zfp11,0,'',https://www.ncbi.nlm.nih.gov/gene/22648
22654,Zfp13,0,'',https://www.ncbi.nlm.nih.gov/gene/22654
22661,Zfp148,0,'',https://www.ncbi.nlm.nih.gov/gene/22661
22673,Zfp185,0,'',https://www.ncbi.nlm.nih.gov/gene/22673
22678,Zfp2,0,'',https://www.ncbi.nlm.nih.gov/gene/22678
22685,Zfp239,0,'',https://www.ncbi.nlm.nih.gov/gene/22685
22688,Zfp26,0,'',https://www.ncbi.nlm.nih.gov/gene/22688
22689,Zfp27,0,'',https://www.ncbi.nlm.nih.gov/gene/22689
22690,Zfp28,0,'',https://www.ncbi.nlm.nih.gov/gene/22690
22693,Zfp30,0,'',https://www.ncbi.nlm.nih.gov/gene/22693
22694,Zfp35,0,'',https://www.ncbi.nlm.nih.gov/gene/22694
22696,Zfp37,0,'',https://www.ncbi.nlm.nih.gov/gene/22696
22698,Zfp39,0,'',https://www.ncbi.nlm.nih.gov/gene/22698
22700,Zfp40,0,'',https://www.ncbi.nlm.nih.gov/gene/22700
22701,Zfp41,0,'',https://www.ncbi.nlm.nih.gov/gene/22701
22702,Zfp42,0,'',https://www.ncbi.nlm.nih.gov/gene/22702
22704,Zfp46,0,'',https://www.ncbi.nlm.nih.gov/gene/22704
22709,Zfp51,0,'',https://www.ncbi.nlm.nih.gov/gene/22709
22710,Zfp52,0,'',https://www.ncbi.nlm.nih.gov/gene/22710
22712,Zfp54,0,'',https://www.ncbi.nlm.nih.gov/gene/22712
22717,Zfp59,0,'',https://www.ncbi.nlm.nih.gov/gene/22717
22718,Zfp60,0,'',https://www.ncbi.nlm.nih.gov/gene/22718
22719,Zfp61,0,'',https://www.ncbi.nlm.nih.gov/gene/22719
22720,Zfp62,0,'',https://www.ncbi.nlm.nih.gov/gene/22720
22746,Zfp85,0,'',https://www.ncbi.nlm.nih.gov/gene/22746
22750,Zfp9,0,'',https://www.ncbi.nlm.nih.gov/gene/22750
22751,Zfp90,0,'',https://www.ncbi.nlm.nih.gov/gene/22751
22755,Zfp93,0,'',https://www.ncbi.nlm.nih.gov/gene/22755
22756,Zfp94,0,'',https://www.ncbi.nlm.nih.gov/gene/22756
22759,Zfp97,0,'',https://www.ncbi.nlm.nih.gov/gene/22759
22762,Zfpm2,0,'',https://www.ncbi.nlm.nih.gov/gene/22762
24132,Zfp53,0,'',https://www.ncbi.nlm.nih.gov/gene/24132
24135,Zfp68,0,'',https://www.ncbi.nlm.nih.gov/gene/24135
26466,Zfp260,0,'',https://www.ncbi.nlm.nih.gov/gene/26466
26919,Zfp346,0,'',https://www.ncbi.nlm.nih.gov/gene/26919
27081,Zfp275,0,'',https://www.ncbi.nlm.nih.gov/gene/27081
27274,Zfp354b,0,'',https://www.ncbi.nlm.nih.gov/gene/27274
30046,Zfp292,0,'',https://www.ncbi.nlm.nih.gov/gene/30046
30944,Zfp354c,0,'',https://www.ncbi.nlm.nih.gov/gene/30944
52397,Zfp644,0,'',https://www.ncbi.nlm.nih.gov/gene/52397
52708,Zfp410,0,'',https://www.ncbi.nlm.nih.gov/gene/52708
54201,Zfp316,0,'',https://www.ncbi.nlm.nih.gov/gene/54201
54367,Zfp326,0,'',https://www.ncbi.nlm.nih.gov/gene/54367
54678,Zfp108,0,'',https://www.ncbi.nlm.nih.gov/gene/54678
56220,Zfp386,0,'',https://www.ncbi.nlm.nih.gov/gene/56220
56314,Zfp113,0,'',https://www.ncbi.nlm.nih.gov/gene/56314
56525,Zfp235,0,'',https://www.ncbi.nlm.nih.gov/gene/56525
56869,Zfp109,0,'',https://www.ncbi.nlm.nih.gov/gene/56869
57745,Zfp112,0,'',https://www.ncbi.nlm.nih.gov/gene/57745
57908,Zfp318,0,'',https://www.ncbi.nlm.nih.gov/gene/57908
58894,Zfp862-ps,0,'',https://www.ncbi.nlm.nih.gov/gene/58894
59057,Zfp24,0,'',https://www.ncbi.nlm.nih.gov/gene/59057
63872,Zfp296,0,'',https://www.ncbi.nlm.nih.gov/gene/63872
64453,Zfp280b,0,'',https://www.ncbi.nlm.nih.gov/gene/64453
65020,Zfp110,0,'',https://www.ncbi.nlm.nih.gov/gene/65020
66758,Zfp474,0,'',https://www.ncbi.nlm.nih.gov/gene/66758
66869,Zfp869,0,'',https://www.ncbi.nlm.nih.gov/gene/66869
67230,Zfp329,0,'',https://www.ncbi.nlm.nih.gov/gene/67230
67370,Zfp606,0,'',https://www.ncbi.nlm.nih.gov/gene/67370
67607,Zfp788,0,'',https://www.ncbi.nlm.nih.gov/gene/67607
67778,Zfp639,0,'',https://www.ncbi.nlm.nih.gov/gene/67778
67911,Zfp169,0,'',https://www.ncbi.nlm.nih.gov/gene/67911
68040,Zfp593,0,'',https://www.ncbi.nlm.nih.gov/gene/68040
68271,Zfp85os,0,'',https://www.ncbi.nlm.nih.gov/gene/68271
69020,Zfp707,0,'',https://www.ncbi.nlm.nih.gov/gene/69020
69234,Zfp688,0,'',https://www.ncbi.nlm.nih.gov/gene/69234
69256,Zfp397,0,'',https://www.ncbi.nlm.nih.gov/gene/69256
69504,Zfp932,0,'',https://www.ncbi.nlm.nih.gov/gene/69504
69623,Zfp33b,0,'',https://www.ncbi.nlm.nih.gov/gene/69623
70081,Zfp995,0,'',https://www.ncbi.nlm.nih.gov/gene/70081
70227,Zfp619,0,'',https://www.ncbi.nlm.nih.gov/gene/70227
71063,Zfp597,0,'',https://www.ncbi.nlm.nih.gov/gene/71063
71131,Zfp689,0,'',https://www.ncbi.nlm.nih.gov/gene/71131
71163,Zfp626,0,'',https://www.ncbi.nlm.nih.gov/gene/71163
71508,Zfp935,0,'',https://www.ncbi.nlm.nih.gov/gene/71508
71591,Zfp251,0,'',https://www.ncbi.nlm.nih.gov/gene/71591
71640,Zfp949,0,'',https://www.ncbi.nlm.nih.gov/gene/71640
72020,Zfp654,0,'',https://www.ncbi.nlm.nih.gov/gene/72020
72154,Zfp157,0,'',https://www.ncbi.nlm.nih.gov/gene/72154
72180,Zfp661,0,'',https://www.ncbi.nlm.nih.gov/gene/72180
72230,Zfp558,0,'',https://www.ncbi.nlm.nih.gov/gene/72230
72306,Zfp777,0,'',https://www.ncbi.nlm.nih.gov/gene/72306
72465,Zfp131,0,'',https://www.ncbi.nlm.nih.gov/gene/72465
72556,Zfp566,0,'',https://www.ncbi.nlm.nih.gov/gene/72556
72611,Zfp655,0,'',https://www.ncbi.nlm.nih.gov/gene/72611
72667,Zfp444,0,'',https://www.ncbi.nlm.nih.gov/gene/72667
72672,Zfp518a,0,'',https://www.ncbi.nlm.nih.gov/gene/72672
72701,Zfp618,0,'',https://www.ncbi.nlm.nih.gov/gene/72701
72720,Zfp248,0,'',https://www.ncbi.nlm.nih.gov/gene/72720
72723,Zfp74,0,'',https://www.ncbi.nlm.nih.gov/gene/72723
72805,Zfp839,0,'',https://www.ncbi.nlm.nih.gov/gene/72805
72807,Zfp429,0,'',https://www.ncbi.nlm.nih.gov/gene/72807
73229,Zfp983,0,'',https://www.ncbi.nlm.nih.gov/gene/73229
