ID,NAME,GROUP,ASSIGNMENT,URL
235682,Zfp445,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/235682
237411,Zfp938,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/237411
237775,Zfp867,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/237775
238722,Zfp72,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/238722
239652,Zfp641,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/239652
240064,Zfp799,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/240064
240068,Zfp563,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/240068
241494,Zfp385b,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/241494
241514,Zfp804a,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/241514
241944,Zfp267,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/241944
242747,Zfp933,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/242747
243906,Zfp14,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/243906
243937,Zfp536,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/243937
244721,Zfp846,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/244721
268670,Zfp759,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/268670
330230,Zfp853,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/330230
407812,Zfp941,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/407812
432396,Zfp652os,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/432396
619331,Zfp551,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/619331
668917,Zfp133-ps,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/668917
675812,Zfp605,0,'cerebellum adult|cns e18|cortex adult|frontal lobe adult',https://www.ncbi.nlm.nih.gov/gene/675812
18139,Zfp638,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/18139
22643,Zfp101,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22643
22661,Zfp148,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22661
22680,Zfp207,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22680
22688,Zfp26,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22688
22690,Zfp28,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22690
22717,Zfp59,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22717
22720,Zfp62,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22720
22746,Zfp85,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22746
22750,Zfp9,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/22750
24135,Zfp68,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/24135
26465,Zfp146,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/26465
26466,Zfp260,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/26466
30046,Zfp292,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/30046
30932,Zfp330,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/30932
52397,Zfp644,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/52397
52708,Zfp410,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/52708
54367,Zfp326,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/54367
56220,Zfp386,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/56220
59057,Zfp24,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/59057
67230,Zfp329,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/67230
67778,Zfp639,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/67778
69256,Zfp397,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/69256
69623,Zfp33b,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/69623
70081,Zfp995,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/70081
70227,Zfp619,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/70227
71163,Zfp626,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/71163
72154,Zfp157,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/72154
72465,Zfp131,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/72465
72556,Zfp566,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/72556
73233,Zfp942,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/73233
73430,Zfp974,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/73430
